package name,author,assignee,created at,closed at,link,version,is stable
azure-mgmt-containerservice,FumingZhang,ChenxiJiang333,2023-07-21,2023-07-26,https://github.com/Azure/sdk-release-request/issues/4353,25.0.0,True
azure-mgmt-sphere,allegradomel,ChenxiJiang333,2023-06-29,2023-07-26,https://github.com/Azure/sdk-release-request/issues/4313,1.0.0b1,
azure-mgmt-network,htippanaboya,ChenxiJiang333,2023-06-26,2023-07-26,https://github.com/Azure/sdk-release-request/issues/4282,24.0.0,True
azure-mgmt-authorization,mumoryan,Wzb123456789,2023-06-21,2023-07-25,https://github.com/Azure/sdk-release-request/issues/4263,4.0.0,True
azure-mgmt-mobilenetwork,JeetendraJoshi-MSFT,Wzb123456789,2023-06-26,2023-07-25,https://github.com/Azure/sdk-release-request/issues/4276,3.0.0,True
azure-mgmt-storagemover,yifanz7,Wzb123456789,2023-07-11,2023-07-25,https://github.com/Azure/sdk-release-request/issues/4330,2.0.0b1,
azure-mgmt-hdinsight,yuc-Li,Wzb123456789,2023-06-23,2023-07-25,https://github.com/Azure/sdk-release-request/issues/4297,9.0.0b2,
azure-mgmt-iotfirmwaredefense,eatkimchee,Wzb123456789,2023-06-23,2023-07-25,https://github.com/Azure/sdk-release-request/issues/4267,1.0.0b1,
azure-mgmt-cognitiveservices,yangyuan,Wzb123456789,2023-06-27,2023-07-25,https://github.com/Azure/sdk-release-request/issues/4284,13.5.0,True
azure-mgmt-compute,haagha,Wzb123456789,2023-06-29,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4305,30.1.0,True
azure-mgmt-dataprotection,Shashank1306s,Wzb123456789,2023-07-03,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4315,1.2.0,True
azure-mgmt-quantum,xinyi-joffre,Wzb123456789,2023-07-07,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4321,1.0.0b4,
azure-mgmt-webpubsub,zackliu,Wzb123456789,2023-07-10,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4323,2.0.0b1,
azure-mgmt-elasticsan,yifanz7,Wzb123456789,2023-07-11,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4326,1.0.0b2,
azure-mgmt-kusto,michaelshikh07,Wzb123456789,2023-06-25,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4269,3.2.0,True
azure-mgmt-batch,JJJessieWang,Wzb123456789,2023-06-13,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4241,17.1.0,True
azure-mgmt-netapp,audunn,Wzb123456789,2023-06-21,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4257,10.1.0,True
azure-mgmt-managednetworkfabric,surajmb,Wzb123456789,2023-07-13,2023-07-24,https://github.com/Azure/sdk-release-request/issues/4336,1.0.0,True
azure-mgmt-costmanagement,msyyc,Wzb123456789,2023-07-19,2023-07-19,https://github.com/Azure/sdk-release-request/issues/4343,4.0.1,True
azure-mgmt-networkcloud,jmmscript,Wzb123456789,2023-06-28,2023-07-19,https://github.com/Azure/sdk-release-request/issues/4301,1.0.0b2,
azure-mgmt-paloaltonetworksngfw,Vibhuti-Sharma-Microsoft,Wzb123456789,2023-06-09,2023-07-14,https://github.com/Azure/sdk-release-request/issues/4236,1.0.0,True
azure-mgmt-databricks,msyyc,Wzb123456789,2023-06-14,2023-06-29,https://github.com/Azure/sdk-release-request/issues/4245,2.0.0,True
azure-mgmt-managednetworkfabric,surajmb,Wzb123456789,2023-06-16,2023-06-29,https://github.com/Azure/sdk-release-request/issues/4254,1.0.0b1,
azure-mgmt-graphservices,amatukmolina,Wzb123456789,2023-05-25,2023-06-25,https://github.com/Azure/sdk-release-request/issues/4199,1.0.0,True
azure-mgmt-selfhelp,BharathaAravind,Wzb123456789,2023-05-18,2023-06-25,https://github.com/Azure/sdk-release-request/issues/4175,1.0.0,True
azure-mgmt-storagecache,tibanyas,Wzb123456789,2023-06-08,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4229,1.5.0,True
azure-mgmt-resource,harshpatel17,Wzb123456789,2023-05-18,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4179,23.1.0b2,
azure-mgmt-cosmosdb,SrinikhilReddy,Wzb123456789,2023-05-23,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4191,10.0.0b1,
azure-mgmt-iothubprovisioningservices,WendyCaiMS,Wzb123456789,2023-05-25,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4201,1.2.0b2,
azure-mgmt-sqlvirtualmachine,navba-MSFT,Wzb123456789,2023-05-30,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4213,1.0.0b6,
azure-mgmt-cosmosdbforpostgresql,mozansaka,Wzb123456789,2023-05-30,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4216,1.0.0b1,
azure-mgmt-dataprotection,ankur741999,Wzb123456789,2023-05-31,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4221,1.1.0,True
azure-mgmt-containerservicefleet,serbrech,Wzb123456789,2023-05-18,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4172,1.0.0b1,
azure-mgmt-redis,ajtiwari07,Wzb123456789,2023-05-22,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4187,14.2.0,True
azure-mgmt-trafficmanager,imsiddhartha,Wzb123456789,2023-05-25,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4193,1.1.0,True
azure-mgmt-containerservice,FumingZhang,Wzb123456789,2023-06-14,2023-06-21,https://github.com/Azure/sdk-release-request/issues/4248,24.0.0,True
azure-mgmt-dns,msyyc,Wzb123456789,2023-06-13,2023-06-14,https://github.com/Azure/sdk-release-request/issues/4240,8.1.0,True
azure-mgmt-rdbms,ambrahma,Wzb123456789,2023-05-11,2023-05-26,https://github.com/Azure/sdk-release-request/issues/4158,10.2.0b9,
azure-mgmt-costmanagement,pednekarpraj,Wzb123456789,2023-04-25,2023-05-26,https://github.com/Azure/sdk-release-request/issues/4089,4.0.0,True
