language,issue,author,package,created date,delay from created date,latest update time,delay from latest update,status,bot advice
Python,https://github.com/Azure/sdk-release-request/issues/2937,victoriachenm,azure-mgmt-chaos,2022-06-22,5,2022-06-27,0,confirm,new comment.  <br> release date < 2 ! <br>
Python,https://github.com/Azure/sdk-release-request/issues/2944,grizzlytheodore,azure-mgmt-compute,2022-06-23,4,2022-06-27,0,confirm,  release date < 2 ! <br>
Python,https://github.com/Azure/sdk-release-request/issues/2914,sjiherzig,azure-mgmt-digitaltwins,2022-06-13,14,2022-06-27,0,confirm,new comment.  <br> release date < 2 ! <br>
Python,https://github.com/Azure/sdk-release-request/issues/2930,jake-billings,azure-mgmt-extendedlocation,2022-06-20,7,2022-06-27,0,confirm,  release date < 2 ! <br>
Python,https://github.com/Azure/sdk-release-request/issues/2941,dabenhamMic,azure-mgmt-loganalytics,2022-06-23,4,2022-06-27,0,confirm, 
Python,https://github.com/Azure/sdk-release-request/issues/2933,giakas,azure-mgmt-media,2022-06-21,6,2022-06-27,0,confirm, 
Python,https://github.com/Azure/sdk-release-request/issues/2892,thomasp98296,azure-mgmt-monitor,2022-06-06,21,2022-06-15,12,confirm, 
Python,https://github.com/Azure/sdk-release-request/issues/2949,isolenov,azure-mgmt-msi,2022-06-24,3,2022-06-27,0,confirm, 
Python,https://github.com/Azure/sdk-release-request/issues/2956,saisankargochhayat,azure-mgmt-resourceconnector,2022-06-27,0,2022-06-27,0,confirm,new issue ! <br>
Python,https://github.com/Azure/sdk-release-request/issues/2935,IliasKhan,azure-mgmt-sql,2022-06-22,5,2022-06-22,5,confirm, 
Python,https://github.com/Azure/sdk-release-request/issues/2875,gargankit-microsoft,azure-mgmt-workloads,2022-06-03,24,2022-06-27,0,confirm,new comment.  <br> release date < 2 ! <br>
