foler/package name,pypi link,latest track1 version,latest track1 release date,track1 GA version,latest track2 version,latest track2 release date,track2 GA version,cli dependency,readme config,bot advice,readme link,multi api,whl size(MB),test coverage,passed,failed,skipped
timeseriesinsights/azure-mgmt-timeseriesinsights,https://pypi.org/pypi/azure-mgmt-timeseriesinsights,0.2.0,2020/02/26,NA,2.0.0b1,2022/10/31,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/timeseriesinsights/resource-manager,,0.096,-, -, -, -
policyinsights/azure-mgmt-policyinsights,https://pypi.org/pypi/azure-mgmt-policyinsights,0.6.0,2020/11/11,NA,1.1.0b4,2022/12/30,1.0.0,track2_1.1.0b4,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/policyinsights/resource-manager,,0.121,-, -, -, -
relay/azure-mgmt-relay,https://pypi.org/pypi/azure-mgmt-relay,0.2.0,2019/05/16,NA,2.0.0b1,2022/11/9,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/relay/resource-manager,,0.088,-, -, -, -
recoveryservices/azure-mgmt-recoveryservicesbackup,https://pypi.org/pypi/azure-mgmt-recoveryservicesbackup,0.15.0,2021/09/23,NA,9.1.0,2024/04/22,1.0.0,track2_9.1.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/recoveryservicesbackup/resource-manager,fake,0.544,-, -, -, -
mixedreality/azure-mgmt-mixedreality,https://pypi.org/pypi/azure-mgmt-mixedreality,0.4.0,2021/02/24,NA,1.1.0b1,2022/11/2,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/mixedreality/resource-manager,,0.074,-, -, -, -
datamigration/azure-mgmt-datamigration,https://pypi.org/pypi/azure-mgmt-datamigration,4.1.0,2020/10/22,1.0.0,10.1.0b1,2022/11/21,9.0.0,track2_10.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/datamigration/resource-manager,,0.206,-, -, -, -
powerbiembedded/azure-mgmt-powerbiembedded,https://pypi.org/pypi/azure-mgmt-powerbiembedded,3.0.0,2024/06/24,1.0.0,NA,NA,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/powerbiembedded/resource-manager,,0.058,-, -, -, -
servicenetworking/azure-mgmt-servicenetworking,https://pypi.org/pypi/azure-mgmt-servicenetworking,NA,NA,NA,1.1.0b1,2024/09/29,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/servicenetworking/resource-manager,,0.076,-, -, -, -
quantum/azure-mgmt-quantum,https://pypi.org/pypi/azure-mgmt-quantum,NA,NA,NA,1.0.0b5,2024/03/21,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/quantum/resource-manager,,0.064,-, -, -, -
media/azure-mgmt-media,https://pypi.org/pypi/azure-mgmt-media,4.1.0,2021/07/28,1.0.0,10.2.0,2023/01/17,7.0.0,track2_9.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/mediaservices/resource-manager,,0.254,-, -, -, -
